"id","Nombre","Nombre breve","URL","Tipo de dato","Formato","Formato","Tipo de proyecto","Responsable","Año de comienzo","País","Ciudad","Institución","Licencia","CC?","Pago","Cantidad de datos original","Cantidad de datos normalizada","Rangos cantidad de datos","Cantidad estimada","Tipo de edición","Rangos tipos de edición","Época","Género textual","Subgénero textual","Autor","Descarga full-text","Anotación lingüística","Anotación diferente","Metadatos","Comentario"
21,"An Electronic Corpus of 15th Century Castilian Cancionero Manuscripts","CCCM","http://cancionerovirtual.liv.ac.uk/","texto","XHTML","markup","colección de textos","Severin, Dorothy",2007,"Reino Unido","Liverpool",,"?","no","no",4000,200,3,"sí","filológica",3,"1360-1520","literatura","poesía","varios","no","no","sí",2," "
22,"Omegalfa","Omegalfa","http://www.omegalfa.es/","texto","PDF","PDF","biblioteca digital","?",2009,"?","?","?","?","no","no",400,400,3,"sí","oportunística",2,"varios","literatura","varios","varios","sí","no","no",1," "
23,"Cibertextos","Cibertextos","http://mgarci.aas.duke.edu/celestina/","texto","HTML","markup","colección de textos","Garci-Gómez, Miguel",2008,"Estados Unidos","Durham","Duke University","?","no","no",300,300,3,"sí","filológica",3,"varios","literatura","varios","varios","no","no","no",0," "
24,"Los poetas","Los poetas","http://www.los-poetas.com/","texto","HTML","markup","biblioteca digital","?",2002,"?","?","?","?","no","no",7000,350,3,"sí","oportunística",2,"varios","literatura","poesía","varios","no","no","no",0," "
25,"Poesi.as","Poesi.as","http://www.poesi.as/","texto","HTML","markup","biblioteca digital","?",2000,"?","?","?","?","no","no",7000,350,3,"sí","oportunística",2,"varios","literatura","poesía","varios","no","no","no",0," "
26,"Internet Archive","Internet Archive","archive.org","texto","PDF","PDF","biblioteca digital","Kahle, Brewster",1996,"Estados Unidos","San Francisco","Internet Archive","?","no","no",5000000,5000000,6,"sí","escaneado",2,"varios","varios","varios","varios","sí","no","no",0," "
27,"Biblioteca Digital Hispánica","BDH","www.bne.es/es/Catalogos/BibliotecaDigitalHispanica/Inicio/","texto","PDF","PDF","biblioteca digital","Bueren Gómez-Acebo, José Luis",2008,"España","Madrid","BNE","?","no","no",135000,135000,5,"sí","escaneado",2,"varios","varios","varios","varios","sí","no","no",0," "
28,"Aracne","Aracne","http://www.fundeu.es/aracne/","datos léxicos","CSV","CSV","corpus","Álvarez Mellado, Elena",2014,"España","Madrid","Fundeu","?","no","no",5000,5000,4,"no","filológica",3,"1914-2014","periodístico","periodístico","varios","no","no","no",0,"Datos léxicos para descargar en http://www.fundeu.es/aracne/riqueza.html, „disponibles para descarga“"
29,"Hemero","Hemero","www.hemero.es","texto","HTML","markup","corpus","Basterrechea, Eduardo",2011,"España","Madrid","Molino de Ideas","?","no","no",633000,31650,5,"no","filológica",3,"2000-2009","periodístico","periodístico","varios","no","no","no",0," "
30,"Corpes","Corpes","http://web.frl.es/CORPES/view/inicioExterno.view","texto","HTML","markup","corpus","Sánchez Sánchez, Mercedes",2015,"España","Madrid","Real Academia","?","no","no",615000,30750,5,"no","filológica",3,"2000-2015","varios","varios","varios","no","sí","no",2," "
31,"Corpus Lazarillo","Corpus Loazaril","http://ir.lib.uwo.ca/etd/3486/","texto","TXT","TXT","colección de textos","de la Rosa Pérez, Javier",2016,"Canadá","London, Ontario","The University of Western Ontario","?","no","no",52,52,2,"no","oportunística",2,"1500-1550","literatura","prosa",,"sí","no","no",0," "
32,"Corpus CHARTA","CHARTA","http://www.corpuscharta.es/consultas.html","texto","XHTML","markup","corpus","Sánchez-Prieto Borja, Pedro",2015,"España","Alcalá","Universidad de Alcalá","CC BY-NC-ND","sí","no",2000,2000,4,"no","filológica",3,"1100-1900","documentos","documentos","varios","no","no","sí",2,"Año dudoso"
33,"textbox","textbox","github.com/cligs/textbox","texto","XML-TEI","XML-TEI","colección de textos","Schöch, Christof",2015,"Alemania","Würzburg","Universidad de Würzburg","CC BY","sí","no",96,96,2,"no","oportunística",2,"1600-1940","literatura","varios","varios","sí","sí","no",3," "
34,"Google Books","Google Books","books.google.com","texto","PDF","PDF","biblioteca digital","?",2004,"Estados Unidos","Mountain View","Google","?","no","no",1000000,1000000,6,"sí","oportunística",2,"varios","varios","varios","varios","parcial","no","no",0," "
35,"Virtual Wunderkammer: Early Twentieth Century Erotica in Spain","Wunderkammer","http://sicalipsis.humnet.ucla.edu/about","texto","PDF","PDF","biblioteca digital","Zubiaurre, Maite",2011,"Estados Unidos","Berkeley ","University of California","CC BY","sí","no",600,600,3,"sí","filológica",3,"1898-1939","literatura","novela erótica","varios","sí","no","no",0," "
36,"Fábulas mitológicas del Siglo de Oro","Fábulas SdO","https://github.com/arojascastro/fabulasmitologicas","texto","XML-TEI","XML-TEI","colección de textos","Rojas Castro, Antonio",2016,"España","Barcelona","Universidad Pompeu Fabra","CC BY","sí","no",25,25,2,"no","oportunística",2,"1600-1700","literatura","poesía","varios","sí","no","sí",1," "
37,"Soledades de Luis de Góngora","Soledades","http://www.soledadesediciondigital.com/","texto","XML-TEI","XML-TEI","edición filológica crítica","Rojas Castro, Antonio",2016,"España","Barcelona","Universidad Pompeu Fabra","CC BY","sí","no",1,1,1,"no","filológica crítica",4,1650,"literatura","poesía","Góngora","sí","no","sí",4," "
38,"Lírica profana galego-portuguesa","Lírica profana ","https://github.com/HelenaSabel/linguistic_variation","texto","XML-TEI","XML-TEI","colección de textos","Bermúdez Sabel, Helena",2015,"España","Santiago","Universidad de Santiago","CC BY","sí","no",36,36,2,"no","filológica",3,"1000-1500","literatura","poesía","varios","sí","sí","sí",3," "
39,"Diálogo medieval","Diálogo medieval","http://dialogo.linhd.es/base-de-datos/","texto","XML-TEI","XML-TEI","edición filológica crítica","Rio Riande, Gimena del",2015,"Argentina","Buenos Aires","CONICET","cc-by-sa","sí","no",1,1,1,"no","filológica crítica",4,1300,"literatura","poesía","Juan Alfonso de Baena","sí","sí","sí",3,"El enlace es poco visible, pero el XML sí está disponible"
40,"Biblioteca Digital de Textos del Español Antiguo","BDTEA","http://www.hispanicseminary.org/textconc-es.htm","texto","markup","markup","colección de textos","Gago Jover, Francisco",2011,"Estados Unidos",,"University of Wisconsin-Madison","?","no","no",300,300,3,"no","filológica",3,"1200-1550","documentos","documentos","varios","sí","no","no",1,"Han desarrollado su propio markup."
41,"Edición digital y estudio de la polémica gongorina","Polémica gongorina","https://github.com/gongoradigital/polemos","texto","XML-TEI","XML-TEI","colección de textos","Blanco, Mercedes",2016,"Francia","París","Sorbonne","?","no","no",20,20,2,"no","filológica",3,"1600-1700","varios","varios","varios","sí","no","sí",3," "
42,"Canon 60","Canon 60","http://tc12.uv.es/index.php/produccion-cientifica/edicion-del-patrimonio-teatral/canon-60","texto","HTML","markup","colección de textos","Oleza Simó, Joan",2014,"España","Valencia","Universitat de València","C","no","no",60,60,2,"no","filológica",3,"1500-1700","literatura","teatro","varios","sí","no","sí",1,
43,"Classics of Early Modern European Theatre","CEMET","http://emothe.uv.es/biblioteca/recordlist.php?-max=25&-skip=0&-link=Record%20List","texto","HTML","markup","colección de textos","Oleza Simó, Joan",2015,"España","Valencia","Universitat de València","?","no","no",60,60,2,"no","filológica",3,"1500-1700","literatura","teatro","varios","sí","no","sí",1,"También autores europeos, en diferentes lenguas."
